edge              50  3 20  0 99  50 1    0    0 34.2627128          0
edge              50  3 20  0 99  43 1    0    0 36.0973419          0
edge              50  3 20  0 99  51 1    0    0 34.7315796          0
edge              50  3 20  0 99  49 1    0    0 35.2770778          0
edge              50  3 20  0 99  48 1    0    0 34.1932998          0
edge              50  3 20  0 99  44 1    0    0 35.5177254          0
edge              50  3 20  0 99  45 1    0    0 36.6515211          0
edge              50  3 20  0 99  46 1    0    0 33.3598939          0
edge              50  3 20  0 99  47 1    0    0 35.0503955          0
edge              50  3 20  0 99  42 1    0    0 34.8265338          0
mtz               50  3 20  0 99  43 1    0 1800 35.1565743 0.08582276
mtz               50  3 20  0 99  45 1    0 1800 36.6355176 0.07790838
mtz               50  3 20  0 99  46 1    0 1800 32.5869849 0.15676849
mtz               50  3 20  0 99  47 1    0 1800 34.7000896 0.12785894
mtz               50  3 20  0 99  48 1    0 1800 33.3283399 0.16427205
mtz               50  3 20  0 99  49 1    0 1800 34.5218747 0.07778206
mtz               50  3 20  0 99  42 1    0 1800 33.1624403 0.16103897
mtz               50  3 20  0 99  50 1    0 1800 33.4089469 0.15689738
mtz               50  3 20  0 99  44 1    0 1800 33.9343132 0.18671964
mtz               50  3 20  0 99  51 1    0 1800 34.5227087 0.11869547
edge              50  4 20  0 99  51 1    0    1 37.9341834          0
edge              50  4 20  0 99  49 1    0    1 37.3717325          0
edge              50  4 20  0 99  48 1    0    1  37.939655          0
edge              50  4 20  0 99  43 1    0    1 37.9126557          0
edge              50  4 20  0 99  44 1    0    2 39.1243243          0
edge              50  4 20  0 99  46 1    0    2 36.9024502          0
edge              50  4 20  0 99  42 1    0    2  37.710173          0
edge              50  4 20  0 99  47 1    0    2 38.4015795          0
edge              50  4 20  0 99  45 1    0    3 38.9106907          0
edge              50  4 20  0 99  50 1    0    7 37.2838715          0
mtz               50  4 20  0 99  44 1    0 1800 36.1965162 0.16323169
mtz               50  4 20  0 99  45 1    0 1800 38.0247392 0.07052434
mtz               50  4 20  0 99  47 1    0 1800 37.7645964 0.07289077
mtz               50  4 20  0 99  48 1    0 1800 36.4611364 0.10730933
mtz               50  4 20  0 99  49 1    0 1800 35.2937793 0.11241504
mtz               50  4 20  0 99  50 1    0 1800 36.3919847 0.09407072
mtz               50  4 20  0 99  43 1    0 1800 35.3805553 0.13587958
mtz               50  4 20  0 99  46 1    0 1800  35.386784 0.11130745
mtz               50  4 20  0 99  51 1    0 1800 36.0929057 0.12532922
mtz               50  4 20  0 99  42 1    0 1800 37.3799477 0.06528106
edge              50  5 20  0 99  51 1    0   25 39.7240816          0
edge              50  5 20  0 99  44 1    0   30 41.2533556          0
edge              50  5 20  0 99  48 1    0   37 39.6914457          0
edge              50  5 20  0 99  50 1    0   49   39.24133          0
edge              50  5 20  0 99  49 1    0   59 38.4083874          0
edge              50  5 20  0 99  43 1    0   72 39.4183669          0
edge              50  5 20  0 99  47 1    0   96 39.7462706          0
edge              50  5 20  0 99  45 1    0  104 39.9862908          0
edge              50  5 20  0 99  42 1    0  111 39.4868278          0
edge              50  5 20  0 99  46 1    0  137 38.3292726          0
mtz               50  5 20  0 99  43 1    0 1800 37.9432187 0.06758416
mtz               50  5 20  0 99  44 1    0 1800 40.8243168  0.0403698
mtz               50  5 20  0 99  45 1    0 1800 38.7600614 0.05753925
mtz               50  5 20  0 99  48 1    0 1800 37.2873299 0.10032176
mtz               50  5 20  0 99  49 1    0 1800 37.4625684 0.05641789
mtz               50  5 20  0 99  50 1    0 1800 37.0485793 0.08668223
mtz               50  5 20  0 99  42 1    0 1800  38.117162 0.05749957
mtz               50  5 20  0 99  46 1    0 1800 35.8809269 0.11151132
mtz               50  5 20  0 99  51 1    0 1800 38.2312813 0.07116966
mtz               50  5 20  0 99  47 1    0 1800 38.6186342 0.06236102
edge              50  6 20  0 99  45 1    0   40 40.7763875          0
edge              50  6 20  0 99  49 1    0   48 39.3003869          0
edge              50  6 20  0 99  48 1    0   51 40.6368034          0
edge              50  6 20  0 99  44 1    0   55 42.1111914          0
edge              50  6 20  0 99  46 1    0   69 39.3804171          0
edge              50  6 20  0 99  51 1    0   82 40.4764504          0
edge              50  6 20  0 99  42 1    0  111 40.2240317          0
edge              50  6 20  0 99  50 1    0  120 39.7230239          0
edge              50  6 20  0 99  43 1    0  131 40.0977447          0
edge              50  6 20  0 99  47 1    0  309 40.3876626          0
mtz               50  6 20  0 99  47 1    0 1800  40.077097  0.0295325
mtz               50  6 20  0 99  50 1    0 1800 38.9710717 0.03656635
mtz               50  6 20  0 99  44 1    0 1800 40.5193607 0.05814175
mtz               50  6 20  0 99  45 1    0 1800 40.7763875 0.00385959
mtz               50  6 20  0 99  46 1    0 1800 38.0307123 0.05274375
mtz               50  6 20  0 99  48 1    0 1800 40.5170532 0.01272295
mtz               50  6 20  0 99  43 1    0 1800 40.0619656   0.013538
mtz               50  6 20  0 99  49 1    0 1800 38.1084808 0.04446638
